"Region","Case.1st.Observed.Date","ID.Name","Field....S.","Narrative","CAUSE","DETERMINED.FATE","Health.status","DISENTANGLEMENT.STATUS","Seen..1yr.","Breeding..Feeding..Migratory.corridor..or.Other.","INITIAL..National.Cause.Criteria..L1.L12","FINAL.National.Cause.Criteria..L1.L12","L1","L2","L3","L4","L5a","L5b","L6a","L6b","L6c","L7a","L7b","L8","L9","L10","L11","L12","PBR..Value","Gear..Type","Trailing.","Species","anchored","calf.juv","constricting","decline","extensive.severe","fluke.peduncle","gear.free","head","healing","laceration.deep","laceration.shallow","pectoral","swim.dive","trailing","VessSpd","VessSz","wraps.multi","wraps.no"
"PAC","8/25/2010","","","MULTIPLE FRAGMENTS OF VERTEBRAE AND RIBS IN ABDOMINAL CAVITY","VS","MT","DEAD","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","10/2/2010","","","BROKEN BONES AND HEMORRHAGE CONSISTENT WITH VESSEL STRIKE","VS","MT","DEAD","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","9/4/2015","","","OVERHEAD CAMERA FOOTAGE INDICATES THAT GEAR ORIGINATES FROM MOUTH OR RIGHT PECTORAL AND RUNS ALONG BODY, POSSIBLY TWO LINES, ONE OVER THE FLUKES AND ANOTHER UNDER THE FLUKES THEN APPROX 40 FT BEHIND WHALE, THEN WRAPS/TWISTS TOGETHER AND GOES BACK 400+ FEET; CDFW CONCURS IS CONSISTENT WITH DEEP SET TRAP, POSSIBLY HAGFISH, SABLEFISH, OR SPOT PRAWN. CONFIGURATION OF GEAR UNKNOWN AND CANNOT TELL IF GEAR IS CONSTRICTING OR LOOSELY WRAPPED. WHALE REPORTED AS SWIMMING AND DIVING, BUT NOT ENOUGH TO SUBMERGE BODY. WHALE APPEARS SLIGHTLY THIN, IMPLYING A DECLINE IN HEALTH STATUS DUE TO THE TRAILING GEAR.  SERIOUS INJURY PRORATION VALUE IS ASSIGNED AS = 1 FOR THIS REASON.  PHOTOS AND VIDEO REVIEWED BY J. CARRETTA, J. GILPATRICK, M. LYNN AND A. HENRY.","EN","PR","Unknown","",0,NA,"","L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,1,0,0,0,0,1,0,0,0,1,1,1,"VSpdUnk","VSzUnk",0,0
"PAC","6/26/2016","","","35 MILES WEST OF PT. LOMA. TRAILING 2 RED BULLET BUOYS WITH PURPLE T6 CDFW DUNGENESS CRAB BUOY TAG; LINE WRAPPED THROUGH MOUTH OR AROUND PECTORAL FIN. GEAR WAS ORIGINALLY SET OFF SAN LUIS OBISPO IN 40 - 70 FATHOMS OF WATER. WHALE SEEN NEXT DAY, LOGGING AT SURFACE, WHICH IS ABNORMAL BEHAVIOR FOR A BLUE WHALE. UNSUCCESSFUL ATTEMPT AT DISENTANGLING WHALE. FULL CONFIGURATION OF GEAR UNKNOWN. THIS IS A SERIOUS INJURY BECAUSE OF THE NOTED HEALTH DECLINE OF THE WHALE.","EN","SI","Unknown","",0,NA,"","L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,0,1,0,0,0,1,0,0,0,1,0,1,"VSpdUnk","VSzUnk",0,0
"PAC","7/14/2016","","","SEEN OFF LOS ANGELES TRAILING BUOYS AND LINE. MULTIPLE RESIGHTS AS FAR NORTH AS SANTA CRUZ COUNTY. SEEN ACTIVELY FEEDING WITH OTHER BLUE WHALES THROUGH EARLY OCTOBER. FINAL SIGHTING WAS IN OCTOBER OFF OF LOS ANGELES. WHALE BODY CONDITION WAS DESCRIBED AS 'EMACIATED' IN AUGUST AND 'FAIR' IN OCTOBER. LINE WRAPPED AROUND BODY, 2 YELLOW BUOYS WITH BLUE TIPS, TRAILING 30 FEET BEHIND WHALE, SPACED 1 FM APART, PURPLE CDFW DUNGENESS CRAB BUOY TAG VISIBLE, VIDEO SHOWS ALGAE AND BARNACLE GROWTH ON ROPE AND BUOYS, COMPRESSION OF BUOYS. UNCERTAINTY OVER WHETHER LINE EXTENDS THROUGH MOUTH OR JUST OVER PECTORAL FLIPPERS. HEALTH DECLINE AND TWO CRISS-CROSSED CONSTRICTING MULTIPLE WRAPS OF LINE POSTERIOR OF DORSAL AROUND BODY WARRANTS SERIOUS INJURY.","EN","SI","Unknown","",0,NA,"","L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,1,1,0,0,0,1,0,0,0,1,0,1,"VSpdUnk","VSzUnk",1,0
"PAC","8/15/2016","","","REPORT OF AN ENTANGLED WHALE FROM POINT BLUE CONSERVATION GROUP NEAR THE FARALLON ISLANDS. NO PHOTOS OR ADDITIONAL INFORMATION. AMOUNT OF GEAR AND CONFIGURATION UNKNOWN.","EN","PR","Unknown","",0,NA,"","L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"","","BLWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","8/28/2016","","","TWO BLACK OR GREEN BUOYS WITH ABUNDANT MARINE GROWTH TRAILING BEHIND WHALE ABOUT 20-30 FEET, FLUKES NOT ENTANGLED, BUT POSSIBLY PECTORAL FIN. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN. NO PHOTOS.","EN","PR","Unknown","",0,NA,"","L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"","","BLWH",0,0,0,0,0,0,0,0,0,0,0,1,0,1,"VSpdUnk","VSzUnk",0,0
"PAC","10/26/2016","","","MODERATELY DECOMPOSED 65-FOOT LONG BLUE WHALE NECROPSIED BY THE MARINE MAMMAL CENTER, FINDINGS OF BLUNT FORCE TRAUMA. SOME UNCERTAINTY WHETHER OR NOT VESSEL STRIKE WAS POST-MORTEM.","VS","MT","DEAD","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","5/25/2017","","","NECROPSY CONDUCTED BY MARINE MAMMAL CENTER IN SAUSILITO. BLUNT FORCE TRAUMA DUE TO A BOAT STRIKE,” SAID BARBIE HALASKA, A BIOLOGIST AND RESEARCH ASSISTANT AT THE MARINE MAMMAL CENTER IN SAUSALITO. LEFT SIDE OF BODY WAS DAMAGED. FINDINGS INCLUDED 10 BROKEN RIBS AND 10 FRACTURED VERTEBRAE NEAR THE TAIL AND MID-BODY.","VS","MT","DEAD","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","6/10/2017","","","TWO BUOYS ON RIGHT SIDE OF BODY, WITH LINE POSSIBLY EXTENDING TO MOUTH.  ONE BUOY HAD A RED/ORANGE TAG, THIS IS A CA DUNGENESS CRAB ENTANGLEMENT. ONE LARGER YELLOW BUOY WITH BLACK LONGITUDINAL STRIPE TRAILING OFF RIGHT SIDE, MID BODY, POSSIBLE MOUTH ENTANGLEMENT. APPEARS TO BE A GREEN/BLUE LINE AROUND THE HEAD. ANIMAL LUNGING AT SURFACE, OBSERVERS REPORT IT MIGHT HAVE SELF-RELEASED, BUT BUOYS WERE NOT SEEN AGAIN. UNCERTAINTY REGARDING CONTINUED PRESENCE OF GEAR ON ANIMAL AND UNKNOWN CONFIGURATION WARRANTS PRORATED SERIOUS INJURY.","EN","PR","Unknown","",0,NA,"","L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"","","BLWH",0,0,0,0,0,0,1,1,0,0,0,0,0,1,"VSpdUnk","VSzUnk",0,0
"PAC","8/19/2017","","","PHOTOS SHOW BLUE LINE DRAPED OVER BACK OF WHALE DIAGONALLY, FROM ANTERIOR TO DORSAL FIN, TOWARDS MIDBODY. PHOTOS SHOW THAT PRIVATE VESSEL RETRIEVED, VIA CUTTING,  A LONG LENTGH OF BLUE LINE AND 2 LARGE BUMPER BUOYS. UNCLEAR IF GEAR REMAINED ON ANIMAL OR NOT. GOOD BODY CONDITION, NO BEHAVIORAL SUMMARY. UNKNOWN GEAR CONFIGURATION AND AMOUNT.","EN","PR","Unknown","",0,NA,"","L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"","","BLWH",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","9/23/2017","","","PHOTOS SHOW BLUE WHALE TRAILING A SINGLE BUOY APPROXIMATELY 1.5 BODY LENGTHS BEHIND TAIL. ANIMAL WAS ACTIVELY SWIMMING. GEAR CONFIGURATION AND AMOUNT UNKNOWN. PHOTOS REVIEWED BY J. CARRETTA.","EN","PR","Unknown","",0,NA,"","L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"","","BLWH",0,0,0,0,0,0,0,0,0,0,0,0,0,1,"VSpdUnk","VSzUnk",0,0
"PAC","6/16/2018","","","NECROPSY FINDINGS INCLUDED: LARGE AREAS OF MUSCLE HEMORRHAGE ON THE LEFT AND RIGHT DORSO-LATERAL SIDES. HEMORRHAGED TISSUE OBSERVED CAUDAL TO THE GAPE ON THE LEFT SIDE. EXTENSIVE NECROTIC TISSUE WAS NOTED CAUDAL TO THE SKULL AT THE CERVICAL VERTEBRAE. BONE BRUISING WAS OBSERVED ON ALL OF THE RIBS THAT WERE VISUALIZED ON THE LEFT SIDE AND ON THE LEFT MANDIBLE. THERE WERE NO BROKEN RIBS. THERE WAS EXTENSIVE FREE-FLOWING BLOOD OBSERVED WHEN THE RIGHT THORAX WAS OPENED UP. THE FIRST THREE (3) LUMBAR VERTEBRAE WERE SURROUNDED BY NECROTIC TISSUE AND WERE SHATTERED INTO MANY PIECES, INCLUDING FRACTURED LATERAL PROCESSES, FRACTURED CENTRUMS, AND A FRACTURED EPIPHYSEAL PLATE. ALL OTHER VERTEBRAE THAT WERE VISUALIZED WERE INTACT. FINDINGS CONSISTENT WITH VESSEL STRIKE AS CAUSE OF DEATH.","VS","MT","DEAD","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,1,0,1,0,0,0,0,1,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","7/16/2018","","","WHALE TRAILING 2 YELLOW BUOYS APPROXIMATELY 40 FT. BEHIND ANIMAL. NO PHOTOS. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.","EN","PR","Unknown","",0,NA,"","L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"","","BLWH",0,0,0,0,0,0,0,0,0,0,0,0,0,1,"VSpdUnk","VSzUnk",0,0
"PAC","6/2/2019","","","WHALE CAME IN ON THE BOW OF A CARNIVAL CRUISE SHIP ENTERING PORT OF LONG BEACH. VESSEL HAD LEFT MEXICO THE PREVIOUS NIGHT. LARGE AREA OF TRAUMA SURROUNDING A CREASE ON THE WHALES BACK JUST IN FRONT OF DORSAL FIN. CREASE WAS ALSO SURROUNDED BY BLUE PAINT. CREASE AND BLUE PAINT ARE LIKELY FROM ANIMAL BEING PINNED TO THE BOW OF THE SHIP. THERE IS HEMORRHAGING OBSERVED ON THE OPPOSITE SIDE OF THE BODY FROM WHERE THE CREASE WAS, IT IS BELIEVED THAT THE VESSEL COLLISION WAS ANTE-MORTEM. RIGHT PEC FLIPPER BROKEN AT INSERTION AND JAWS WERE SEPARATED, BOTH OF THESE ARE BELIEVED TO BE POST-MORTEM.","VS","MT","DEAD","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,1,0,0,0,0,1,0,0,0,1,0,0,"VSpdUnk","VSzLarge",0,0
"PAC","9/3/2020","","","BLUE WHALE WITH HEALING LINEAR SCAR POSTERIOR TO DORSAL FIN THAT APPEARS TO HAVE BEEN CAUSED BY LARGE DIAMETER ROPE OR OTHER ENTANGLING MATERIAL. THERE ARE ALSO RAW ABRASIONS THE LENGTH OF THE CAUDAL PEDUNCLE AND ON THE ANTERIOR MARGIN OF THE DORSAL FIN, INDICATING THAT ENTANGLING MATERIAL SHIFTED TOWARDS THE BACK OF THE WHALE AT SOME POINT. ANOTHER, LARGER DIAMETER INDENTATION IS VISIBLE MID-BODY FROM UAV FOOTAGE, PRESUMABLY FROM THE SAME ENTANGLEMENT. WHALE WAS FREE-SWIMMING WITH NO GEAR ATTACHED, IN APPARENT GOOD HEALTH, DESPITE EVIDENCE OF A PREVIOUS CONSTRICTING ENTANGLEMENT. ASSIGNED NON-SERIOUS INJURY AS THE WHALE IS GEAR FREE AND IN APPARENT GOOD HEALTH. PHOTOS REVIEWED BY J. CARRETTA.","EN","NS","Unknown","",0,NA,"","L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","","BLWH",0,0,1,0,0,0,1,0,1,0,0,0,1,0,"VSpdUnk","VSzUnk",0,0
"ATL","11-Dec-00","-","NY2488-2000","10.8 m female; abrasions, bruising, large hematoma assoc w/ 4 broken ribs and broken vertebral processes - consistent with blunt force trauma","VS","MT","Dead","-",0,"M","L12","L12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"-","-","FIWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"ATL","03-Jan-01","-","NY24942001","female, large abrasion dorsal to left pectoral w/ extensive subdermal hemorrhaging, broken bones, samples to AFIP. Necropsied on /1/4/01. Blunt force trauma","VS","MT","Dead","-",0,"M","L12","L12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"-","-","FIWH",0,0,0,0,1,0,0,0,0,0,0,1,0,0,"VSpdUnk","VSzUnk",0,0
"ATL","01-Feb-01","-","1016","Fresh dead, 47 ft, broken jaw, indications of drowning, well sampled for histo. Suspect brought into port on bow of vessel, but not actually documented on a vessel.","VS","MT","Dead","-",0,"M","L12","L12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"-","-","FIWH",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"VSpdUnk","VSzLarge",0,0
"ATL","29-Jun-01","-","E08-01, WR-2001-05","WW ""Granite State"" rept; free-swimming trailing 10-20ft line w/ white buoy, full configuration unclear. Animal shed gear during observation. Gear not recovered","EN","NS","Unknown","Shed Gear",0,"F","L10","L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,0,"-","1","FIWH",0,0,0,0,0,0,1,0,0,0,0,0,1,1,"VSpdUnk","VSzUnk",0,0
"ATL","19-Sep-01","-","E22-01","Fresh carcass with evidence of multiple constricting body wraps. No necropsy but MT due to EN most parsimonious","EN","MT","Dead","-",0,"M","L2","L2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"-","-","FIWH",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"ATL","28-Jul-02","-","E19-02","Evidence of heavy constricting wrap on peduncle, possibly anchored. Advanced decomp and no necropsy, but COD=EN most parsimonious","EN","MT","Dead","-",0,"F","L2","L2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"-","-","FIWH",1,0,1,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"ATL","26-Aug-03","-","E31-03, WR-2003-26","No photos, reported to have a single line trailing a buoy, possible tail wraps, full configuration unknown. No response due to no standby vessels, distance offshore, and time of day.","EN","PR","Unknown","-",0,"F","L10","L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,0.75,"-","1","FIWH",0,0,0,0,0,0,0,0,0,0,0,0,0,1,"VSpdUnk","VSzUnk",0,0
"ATL","12-Feb-04","-","E01-04, WR-2004-01","Entangled whale sighted and photographed by VMSM researchers.  A ""lobster"" type buoy trailing approximately 15 feet behind the blowholes - no additional trailng gear seen, however, two trailing lines are apparent and one may trail behind the whale.  It appears in the images that there is at least one line exiting the right side of the mouth and a tangle of lines at the blowholes including some that appear to be coming out of the blowholes","EN","SI","Unknown","-",0,"M","L1,L10","L1,L10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,1,"-","1","FIWH",0,0,0,0,0,0,0,1,0,0,0,0,0,1,"VSpdUnk","VSzUnk",0,0
"ATL","25-Feb-04","-","SS03-04, 04-025","Tug was pulling MSC Monica (748 ft) arriving from Boston in to Pt. Elizabeth NJ (transit speed 18.4 kts) and 23-30 ft whale pinned to bow.  As ship stopped and backed off, the fresh carcass came free of the bow and sunk.  Carcass refloated and came ashore, massive gash that cut half way through the body.  Necropsied, but no official necropsy report available - agh 1/28/14. laceration from bow extended from mid dorsal, along left lateral, to mid-ventral & penetrated blubber and muscle layer (L5a); bruising along left jaw @ skull articulation; displaced vertebrae; possible ruptured organs; COD factors = exsanguination; spinal shock and paralysis & possible concussion, which would result in unconsciousness and subsequent drowning; organ ruptures would cause massive system failure and death (JReidenberg pers comm). ","VS","MT","Dead","-",0,"M","L5a,L7a","L5a, L7a",NA,NA,NA,NA,"1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"-","-","FIWH",0,0,1,0,1,0,0,1,0,1,0,0,0,0,"VSpdFast","VSzUnk",0,0
"ATL","30-Jun-04","-","E10-04, NE063004Bp","G. Waring on R/V Endeavor rept; genetics to NEFSC; fresh carcass with evidence of extensive entanglement on peduncle + constricting line across ventral pleats, likely originating from mouthline. G.Waring says lobster gear; 5/8"" sinking line attached to something deeper in the water column, but unclear from description if carcass is anchored.","EN","MT","Dead","-",0,"M","L2","L2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Pot/Trap","-","FIWH",1,0,1,0,1,0,0,1,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"ATL","22-Aug-04","-","E17-04, WR-2004-12","Line exiting right mouth & crossing over back towards left flipper, but unknown if flipper is involved, full configuration unknown. Line does not appear to be tight. CCS responded and the whale was being uncooperative surfacing only two times between dives. After tracking the whale after three hours with few opportunities for attaching a working line, the CCS disentanglement team finally lost the finback at 17:30","EN","PR","Unknown","-",0,"F","L10","L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,0.75,"-","-","FIWH",0,0,1,0,0,0,0,1,0,0,0,1,0,0,"VSpdUnk","VSzUnk",0,0
"ATL","11-Sep-04","-","E21-04, WR-2004-17","A WW vessel, ""Elsie Monata"", from Grand Manan Island reported a free-swimming entangled finback whale to the Head Harbor Lighthouse Disentanglement Team.  The team tracked the whale into the shipping lanes in the southern part of the Bay, where they successfully removed all entangling gear.  Single line, ~ 100 fathoms long passes through the whale's mouth.  Anchor to buoy.","EN","NS","Unknown","Disentangled",0,"M","L3","L3",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Gillnet","1","FIWH",1,0,0,0,0,0,0,1,0,0,0,0,1,0,"VSpdUnk","VSzUnk",0,0
"ATL","26-Sep-04","-","SS07-04","Fin whale is across the bow of passenger cruise ship ""Jewel of the Sea"" (962 ft, cruise speed 25 kts, speed at strike unknown) arriving from Quebec City and appears fresh dead","VS","MT","Dead","-",0,"F","L7a","L7a",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"-","-","FIWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdFast","VSzLarge",0,0
"ATL","26-Mar-05","-","SS04-05, VAQS20051017","Navy War Vessel reported floater to USCG, while traveling in the inbound shipping lanes off of Cape Henry.  Carcass landed at Virginia Beach later that evening.  Necropsy performed by VAQS on 3/28. External abrasions along left side consistent with being folded over bow of ship. Abrasions were with associated internal hemorrhaging and skeletal fracturing. Blunt trauma consistent with vessel strike.","VS","MT","Dead","-",0,"M","L12","L12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"-","-","FIWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzLarge",0,0
"ATL","30-Jun-05","Loon/0460","SS09-05","IWC rept: Provincetown III Ferry (90.9ft catamaran) witnessed traveling 27 kts between to WW boats who were observing a finback. Animal surface in wake of ferry with ~ 1ft square open wound (blubber exposed) on the right flank forward of the dorsal fin and red (with skin hanging) on the trailing edge of the left dorsal fin. One of the WW vessels confirmed that they had watched the same individual (""Loon"") 10 minutes prior to this sighting and it was not injured. Ferry captain interviewed. Stated heard a sound like a door on the vessel slamming, but did not feel anything, nor did the vessel sustain any damage. Thought he might have hit lumber, checked fore and aft, but did not see anything. Was 1/2 mi from WW vessels and assumed they were returning to port, not actively watching animal. No other lookouts were in the pilot house. Was unaware of the strike until it was reported to him. Resights indicate healed/healthy.","VS","NS","Recovered","-",1,"F","L5b, L6a","L5b, L6a",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"-","-","FIWH",0,0,0,0,0,0,0,0,1,0,0,0,0,1,"VSpdFast","VSzLarge",0,0
