Region,Case 1st Observed Date,Narrative,CAUSE,DETERMINED FATE,Health status,DISENTANGLEMENT STATUS,"Seen 
1yr+","Breeding, Feeding, Migratory corridor, or Other?",INITIAL  National Cause Criteria: L1-L12,FINAL National Cause Criteria: L1-L12,L1,L2,L3,L4,L5a,L5b,L6a,L6b,L6c,L7a,L7b,L8,L9,L10,L11,L12,"PBR 
Value","Gear 
Type",Trailing?
ATL,22-Aug-04,"Line exiting right mouth & crossing over back towards left flipper, but unknown if flipper is involved, full configuration unknown. Line does not appear to be tight. Whale was being uncooperative surfacing only two times between dives. After tracking the whale after three hours with few opportunities for attaching a working line, the disentanglement team finally lost the finback at 17:30",EN,PR,Unknown,-,0,F,L10,L10,,,,,,,,,,,,,,1,,,0.75,-,-
ATL,11-Sep-04," A free-swimming entangled finback whale.  The disentanglement team tracked the whale into the shipping lanes in the southern part of the Bay, where they successfully removed all entangling gear.  Single line, ~ 100 fathoms long passes through the whale's mouth.  Anchor to buoy.",EN,NS,Unknown,Disentangled,0,M,L3,L3,,,1,,,,,,,,,,,,,,0,Gillnet,1
ATL,26-Sep-04,"Fin whale is across the bow of passenger cruise ship (962 ft, cruise speed 25 kts, speed at strike unknown) arriving from Quebec City and appears fresh dead.",VS,MT,Dead,-,0,F,L7a,L7a,,,,,,,,,,1,,,,,,,1,-,-
ATL,26-Mar-05,"Navy War Vessel reported floater, while traveling in the inbound shipping lanes off of Cape Henry.  Carcass landed at Virginia Beach later that evening.  Necropsy. External abrasions along left side consistent with being folded over bow of ship. Abrasions were with associated internal hemorrhaging and skeletal fracturing. Blunt trauma consistent with vessel strike.",VS,MT,Dead,-,0,M,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,30-Jun-05,"IWC rept: Ferry (90.9ft catamaran) witnessed traveling 27 kts between to WW boats who were observing a finback. Animal surface in wake of ferry with ~ 1ft square open wound (blubber exposed) on the right flank forward of the dorsal fin and red (with skin hanging) on the trailing edge of the left dorsal fin. One of the WW vessels confirmed that they had watched the same individual (""Loon"") 10 minutes prior to this sighting and it was not injured. Ferry captain interviewed. Stated heard a sound like a door on the vessel slamming, but did not feel anything, nor did the vessel sustain any damage. Thought he might have hit lumber, checked fore and aft, but did not see anything. Was 1/2 mi from WW vessels and assumed they were returning to port, not actively watching animal. No other lookouts were in the pilot house. Was unaware of the strike until it was reported to him. Resights indicate healed/healthy.",VS,NS,Recovered,-,1,F,"L5b, L6a","L5b, L6a",,,,,,1,1,,,,,,,,,,0,-,-
ATL,23-Aug-05,Brought in on a bow of M/V (965ft) arriving from France. Fell off and sank when the ship was ready to dock.  Carcass refloated and landed on 8/24.  Necropsied on 8/25. Did not examine skeleton. Large area of hematoma consistent with blunt trauma.,VS,MT,Dead,-,0,M,L7a,L7a,,,,,,,,,,1,,,,,,,1,-,-
ATL,11-Sep-05,Relatively fresh carcass with broken jaw & evidence of staining on bone - unlikely to have occurred post-mortem or been caused by stranding. MT due to VS most parsimonious.,VS,MT,Dead,-,0,F,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,9-Aug-06,"The whale was only seen for two surface intervals. It is unknown if the whale is anchored.  A lime green lobster buoy would sink everytime the animal dove. In addition to the trailing lime-green buoy, line also may have seen wrapped around the tail. Full configuration unknown.",EN,PR,Unknown,-,0,F,L10,L10,,,,,,,,,,,,,,1,,,0.75,-,1
ATL,17-Sep-06,"An entangled fin whale was spotted at by researchers aboard the NOAA survey aircraft. Staff aboard the aircraft immediately notified the Disentanglement Network. The whale was reported to be entangled around the peduncle and flukes with approximately 50 ft of trailing line and two buoys present. The line appeared to be cutting into the right fluke. Overall, the animal appeared pale in color and was moving slowly. Due to the distance off-shore and no vessel to stand-by the animal, a response was not initiated.",EN,SI,Unknown,-,0,F,L2,L2,,1,,,,,,,,,,,,,,,1,-,1
ATL,25-Mar-07,"Carcass first reported by a tug boat docking into port.  Observed large dent in the side consistent with being folded over the bow of a ship.  Necropsy. Extensive fracturing of ribs, skull and vertebrae w/ associated hemorrhage and edema consistent with blunt force trauma.",VS,MT,Dead,-,0,M,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,24-May-07,"Army Corp of Engineers reported a dead finback.  Necropsy was performed.  Gross findings showed that the animals was marked by hemorrhage (epaxial muscle, diaphragm, pleural lining) and multiple fractures of the ribs and vertebrae (blunt trauma) and the trailing tissue of the animal was marked by prop slices (sharp trauma). total length: missing head and tail.",VS,MT,Dead,-,0,M,"L5a, L12","L5a, L12",,,,,1,,,,,,,,,,,1,1,-,-
ATL,25-Jun-07,"Whale has a tail wrap and both flippers are involved - left flipper is wrapped and right flipper has a line crossing.  Two orange/white buoys are trailing five feet behind the flukes. Wrap on tail assoc w/ cyamid load; flippers & mouth involved; extremely emaciated; lethargic.  A disentanglement team is responding.  Once on scene, rescuers were unable to relocate the animal.",EN,SI,Decline,-,0,F,L2,L2,,1,,,,,,,,,,,,,,,1,-,1
ATL,14-Jul-07,Whale Watch vessel reported a 20' console sport boat running at a high rate through a group of whale watch boats.  A fin whale was reported to have surfaced ~20' in front of the vessel.  The whale was observed at the next surfacing with fresh propeller lacerations and was bleeding. 23ft @ 25kts (L6b) left superficial lacerations (L5b). Subsequent sightings indicate propeller scars had healed.,VS,NS,Recovered,-,1,F,"L5b,L6b","L5b,L6b",,,,,,1,,1,,,,,,,,,0,-,-
ATL,21-Jul-07,"A free-swimming entangled fin whale.  Whale was towing a bullet type buoy ~15 m behind the flukes, attachment point(s) & full configuration unknown.  Whale was behaving very evasively and was lost in the fog.",EN,PR,Unknown,-,0,F,L10,L10,,,,,,,,,,,,,,1,,,0.75,-,1
ATL,11-Aug-07,"Carcass with constricting wrap around body, inbetween the head and the flippers. Animal likely unable to feed.",EN,MT,Dead,-,0,F,L2,L2,,1,,,,,,,,,,,,,,,1,-,-
ATL,23-Aug-07,"Free-swimming with a large hook and leader attached just forward of the dorsal fin on the right side, loose leader. No wraps. Confirmed gear free on 1/30/09.",EN,NS,Recovered,Shed Gear,1,F,L4,L4,,,,1,,,,,,,,,,,,,0,Hook/Monofilament,-
ATL,23-Sep-07,"Free-swimming finback whale carrying a wire-mesh pot from the mouth reported off the NH-Maine border. Reporting vessel was unable to stand by.  No photos were taken.  Maine Marine Patrol made a search of the area, but were unable to relocate the animal. line underneath the body which terminates at a pot about ten feet aft of the flukes, line believed to be through mouth, but configuration & attachment point(s) unknown.",EN,PR,Unknown,-,0,F,L10,L10,,,,,,,,,,,,,,1,,,0.75,Pot/Trap,1
ATL,26-Sep-07,"Freshly dead, scavenged animal with gear present. Indication of multiple body wraps with associated hemorrhaging.",EN,MT,Dead,-,0,F,L2,L2,,1,,,,,,,,,,,,,,,1,-,-
ATL,8-Jun-08,"Whale watch vessel observed an entangled fin whale.  Vessel stayed with animal for ~1 hour, whale was reported to be making 5-7 minute dives & traveling ~1/2 mile with each dive, no visible wounds were observed. Entanglement was reported as rope coming out of both sides of the mouth meeting ~5-10 ft behind blowholes, forming a bridle, with line trailing down body, no rope visible trailing behind animal.",EN,NS,Unknown,-,0,F,L3,L3,,,1,,,,,,,,,,,,,,0,-,1
ATL,2-Jul-08,Dead fin whale reported by recreational boater.  Vertebral fractures with associated hemorrhaging; hemorrhaging around ball joint of right pectoral - blunt force trauma.,VS,MT,Dead,-,0,M,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,27-Apr-09,"Free-swimming trailing single bullet style buoy, attachment point(s) & full configuration unknown.",EN,PR,Unknown,-,0,F,L10,L10,,,,,,,,,,,,,,1,,,0.75,-,1
ATL,9-Sep-09,Free-swimming. Light line and buoys trailing from right flipper area along right flank; whale towed response team; cut some of the line in hopes of shedding rest over time; 300-400' of green polysteel rope with 2 buoys. Original and final configuration unknown.,EN,PR,Unknown,-,0,F,L10,L10,,,,,,,,,,,,,,1,,,0.75,-,1
ATL,1-Oct-09,"Whale brought in on unknown vessel (first observed floating in channel). Fresh carcass (not bloated), so unlikely post-mortem; broken flipper and large abrasions indicate large vessel; evidence of hematomas - blunt force trauma.",VS,MT,Dead,-,0,M,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,9-Oct-09,"Free swimming with trailing line and small (6"") red buoy. Partial disentanglement - gear recovered - 700' of 1/2"" lead line w/ balloon buoy + 100' of 1/2"" line & small 7"" buoy; Believe all gear removed, but unable to confirm. Animal looked thin and was having trouble getting to the surface, but no photos to show health status.",EN,PR,Unknown,Partial,0,F,L10,L10,,,,,,,,,,,,,,1,,,0.75,-,1
ATL,18-Mar-10,"Orig sighted on 3/17, but with no info re: location; Likely resight of 3/15/10 dropped off bow of ship near mouth of Delaware Bay, but cannot confirm based on minimal info provided for the 3/15 sighting. Fractured skull w/ associated hemorrhaging - blunt force trauma; abrasion on mid-back consistent w/ being folded over the bow of a ship",VS,MT,Dead,-,0,M,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,17-Jul-10,"Dependent calf with 2 sets of healed prop lacerations, do not appear to have penetrated body cavity, but cannot really tell depth of original lacerations as they are now healed",VS,NS,Unknown,-,0,M,L11,L11,,,,,,,,,,,,,,,1,,0,-,-
ATL,3-Sep-10,Vertebral fractures w/ associated hemorrhaging - blunt force trauma,VS,MT,Dead,-,0,M,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,1-Jan-11,"Seen by NEFSC aerial survey; Carcass was reported far offshore.  Photos indicate fresh scarring, possible traces of gear in mouth, and evidence of constricting gear. Area of high fishing activity.",EN,MT,Dead,-,0,F,L2,L2,,1,,,,,,,,,,,,,,,1,-,-
ATL,5-Jun-11,"reported floating, resighted on 6/6/11, necropsy conducted on 6/9/11. Extensive hemorrhaging consistent with blunt force trauma, deep laceration on peduncle suggests sharp trauma, but unconfirmed due to state of decomp",VS,MT,Dead,-,0,M,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,2-Jul-11,"Free-swimming towing 2 buoys with evidence of previously extensive constricting entanglement; buoys broke free & were recovered w/ no gear attached; stayed w/ whale for another 1.5 hours & saw no gear, but couldn't see pecs, mouth, etc. Unable to confirm gear free or final configuration. Deep lacerations from gear at peduncle. SI due to depth of laceration caused by gear, potentially affecting artery.",EN,SI,Unknown,Partial,0,F,L2,L10,,1,,,,,,,,,,,,1,,,1,Pot/Trap,-
ATL,9-Jul-11,"Free-swimming with dark line cutting into tailstock, forward attachment point, but remaining configuration unknown. Resights indicate shed gear and healing.",EN,NS,Unknown,Shed Gear,0,F,L2,L2,,1,,,,,,,,,,,,,,,0,-,-
ATL,24-Jul-11,"Carcass with no gear present; multiple wrapping line impressions across ventral surface of jaw, belly & peduncle consistent with constricting gear; no samples or necropsy, but COD due to EN most parsimonious.",EN,MT,Dead,-,0,F,L2,L2,,1,,,,,,,,,,,,,,,1,-,-
ATL,21-Sep-11,"Fresh carcass with no gear present; extensive wrapping line impressions across ventral surface of jaw, belly & peduncle consistent with constricting gear; no samples or necropsy, but COD due to EN most parsimonious.",EN,MT,Dead,-,0,M,L2,L2,,1,,,,,,,,,,,,,,,1,-,-
ATL,23-Jan-12,"hemorrhaging along right, midlateral surface consistent with blunt force trauma. No broken bones; fish in stomach indicate had been feeding",VS,MT,Dead,-,0,M,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,19-Feb-12,"fresh carcass with deep laceration on head, skeletal fractures of rostrum and vertebrae, extensive hemorrhaging. Both sharp and blunt trauma.",VS,MT,Dead,-,0,M,"L5a, L12","L5a, L12",,,,,1,,,,,,,,,,,1,1,-,-
ATL,16-Jul-12,free-swimming w/ line and buoy trailing 30-40ft. Attachment point(s) and configuration unknown; reporting vessel unable to standby; not relocated,EN,PR,Unknown,-,0,F,L10,L10,,,,,,,,,,,,,,1,,,0.75,-,1
ATL,30-Jul-12,"free-swimming, trailing 2 buoys ~60ft behind flukes, some discoloration on forward body. Attachment point(s) & configuration unknown. Resighted gear free & healthy in 2016.",EN,NS,Recovered,Shed Gear,1,F,L10,L10,,,,,,,,,,,,,,1,,,0,-,1
ATL,10-Aug-12,Carcass with extensive bruising along right lateral and ventral aspects consistent with blunt force trauma.,VS,MT,Dead,-,0,M,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,7-Oct-12,"Fresh carcass of 55ft male. 1st sighted floating near Deer Island, Boston Harbor. Deep mid-line perpendicular impression consistent with being folded across bow. Carcass floated around outer harbor islands before reappearing in Rockport, MA on 10/20. Carcass in inaccessible location, Hurricane Sandy moved it adjacent beach where Tom French extracted the skeleton and Rockport DEP disposed of remains.; extensive skeletal fractures with assoc hemorrhaging though exam well after event and unable to discern which breaks were pre and which were post",VS,MT,Dead,-,0,F,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,13-Jan-13,Necropsied on 14Jan. Hematoma & fracturing of left head consistent with blunt force trauma.,VS,MT,Dead,-,0,M,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,6-Jun-13,"Adult female, with bridle of single crab pot set around upper jaw w/ no trailing gear. Line embedded on both sides of mouth, pot resting on top of jaw. Emaciated but with good skin condition. Unsuccessful disentanglement attempts were made, no resights.",EN,SI,Unknown,-,0,F,L2,L2,,1,,,,,,,,,,,,,,,1,Pot/Trap,-
ATL,12-Apr-14,"M/V (965ft) rept animal on their bow. Unknown where collision took place. Claimed it exhaled and swam away, but likely was any remaining air in lungs being compressed out as carcass sank. Refloated on 4/14. Necropsied on 4/16. Large external abrasions with associated extensive hemorrhage and skeletal fractures along right side - blunt force trauma.",VS,MT,Dead,-,0,M,L7a,L7a,,,,,,,,,,1,,,,,,,1,-,-
ATL,13-May-14,"Fresh carcass entangled at 90m at depth, close to crab pots. Line through mouth and around peduncle hog-tying whale. Carcass landed on 21May, no necropsy, but COD = EN most parsimonious.",EN,MT,Dead,-,0,F,L2,L2,,1,,,,,,,,,,,,,,,1,Pot/Trap,-
ATL,23-Jun-14,Free swimming with 200ft of trailing line. Attachment point(s) & configuration unknown. Not relocated.,EN,PR,Unknown,-,0,F,L10,L10,,,,,,,,,,,,,,1,,,0.75,-,1
ATL,20-Aug-14,Free-swimming with a buoy and 200ft of line trailing aft of flukes. Attachment point(s) & configuration unknown. Not reported until the following day. No resights.,EN,PR,Unknown,-,0,F,L10,L10,,,,,,,,,,,,,,1,,,0.75,-,1
ATL,5-Oct-14,"Fresh, bloated carcass. Landed 10/9 on Smith Point Beach, NY. Necropsied. Large areas of hemorrhaging along dorsal, ventral, and right lateral surfaces consistent with blunt force trauma.",VS,MT,Dead,-,0,M,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,6-Jun-15,"Free-swimming w/ 2 buoys & 80ft of line trailing from fluke. Line cutting deeply into right fluke blade, near insertion. Emaciated.",EN,SI,Decline,-,0,F,L2,L2,,1,,,,,,,,,,,,,,,1,-,1
ATL,16-Sep-15,"Series of raw and healing lacerations potentially penetrating body cavity, but unable to confirm. Injuries healing and animal in apparent good health. No resights.",VS,NS,Unknown,-,0,M,L11,L11,,,,,,,,,,,,,,,1,,0,-,-
ATL,18-Jun-16,Free-swimming towing 400ft of line w/ bullet buoy. Resighted on 6/22. Bridle through mouth leading to a twist of lines near the dorsal. 2 buoys trailed 60ft aft of whale. Partially disentangled. Left with short line through mouth that expect to shed.,EN,NS,Unknown,Partial,0,F,L3,L3,,,1,,,,,,,,,,,,,,0,Pot/Trap,1
ATL,6-Jul-16,Free-swimming with line trailing 60-70ft aft of flukes. Attachment point(s) & configuration unknown.,EN,PR,Unknown,-,0,F,L10,L10,,,,,,,,,,,,,,1,,,0.75,-,1
ATL,8-Jul-16,Free-swimming with monofilament and lures in tow along left flipper area from unknown attachment point(s).,EN,PR,Unknown,-,0,M,L10,L10,,,,,,,,,,,,,,1,,,0.75,Hook/Monofilament,1
ATL,27-Jul-16,Free-swimming with line through the mouth and trailing a buoy. Disentangled.,EN,NS,Unknown,Disentangled,0,F,L3,L3,,,1,,,,,,,,,,,,,,0,Pot/Trap,1
ATL,17-Aug-16,Animal found entrapped in weir in the morning. Gone later in the day. Diver found large hole in bottom twine. No gear missing.,ET,NS,Unknown,Self Release,0,F,L10,L10,,,,,,,,,,,,,,1,,,0,Weir,-
ATL,14-Dec-16,Free-swimming with buoy trailing 6-8ft aft of flukes. Attachment point(s) & configuration unknown.,EN,PR,Unknown,-,0,F,L10,L10,,,,,,,,,,,,,,1,,,0.75,-,1
ATL,30-May-17,Fresh carcass on bow of vessel (M/V 656ft). Carcass removed & secured. Photos & Level A taken. No necropsy - but COD = VS most parsimonious due to freshness of carcass. Speed at time of strike unknown.,VS,MT,Dead,-,0,M,L7a,L7a,,,,,,,,,,1,,,,,,,1,-,-
ATL,7-Jul-17,"Free-swimming with line & buoy trailing behind. Attachment point(s) and configuration unknown. Sighted gear free 11Jul2018, confirmed 11Feb2019.",EN,NS,Recovered,Shed Gear,1,F,L10,L10,,,,,,,,,,,,,,1,,,0,-,1
ATL,25-Aug-17,"While hauling fishing gear, a dead whale was lifted to the surface. The whale was found in water 78m deep. From the trap at the bottom, there was 51m of line to the entangled whale. From the whale to the balloon there was 91m of rope. Configuration unknown, but unlikely to have drifted post-mortem in mid-water column so COD = EN most parsimonious.",EN,MT,Dead,-,0,F,L10,L10,,,,,,,,,,,,,,1,,,1,Pot/Trap,-
ATL,22-Jun-18,"Floating carcass with evidence of multiple constricting wraps across ventral pleats, peduncle, and raw injuries at fluke insertion. No necropsy, but COD due to EN most parsimonious.",EN,MT,Dead,-,0,F,L2,L2,,1,,,,,,,,,,,,,,,1,-,-
ATL,14-Oct-18,Floating carcass with great white shark actively scavenging. Landed on 18Oct. Necropsied on 19Oct. Left side not examined due to remote location & no heavy equipment. Additional exam conducted on 30Oct. Evidence of blunt force trauma - fractured mandibles and rostrum with associated hemorrhaging. Histopathology results support findings.,VS,MT,Dead,-,0,F,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
PAC,19-Oct-08,CARCASS BROUGHT INTO HARBOR ON BOW OF FREIGHTER.,VS,MT,DEAD,,0,,,NA,,,,,,,,,,,,,,,,,1,,
PAC,13-Jan-09,"FREE-SWIMMING ANIMAL TRAILING UNIDENTIFIED FISHING GEAR. AMOUNT, CONFIGURATION OF GEAR AND FINAL STATUS UNKNOWN",EN,PR,UNKNOWN,,0,,,L10,,,,,,,,,,,,,,,,,0.75,,
PAC,2-Feb-09,"U.S. NAVY VESSEL COLLIDED WITH FREE-SWIMMING WHALE THAT DIED UPON IMPACT, FLOATING AT SURFACE, BLOOD OBSERVED IN WATER; CARCASS RESIGHTED ON 14-FEB FLOATING SOUTH OF LA JOLLA COVE APPROXIMATELY 1 MILE OFFSHORE; CARCASS TOWED TO FIESTA ISLAND FOR DISPOSAL; FOUR FOOT LONG GASH RUNNING FROM MID-DORSAL TO LEFT LATERAL SURFACE, EXTENDING INTO BLUBBER; DEEP LACERATION. CARCASS EXAMINED BY SWFSC.",VS,MT,DEAD,,0,,,NA,,,,,,,,,,,,,,,,,1,,
PAC,10-Apr-09,CARCASS BROUGHT INTO HARBOR ON BOW OF FREIGHTER; FIELD NECROPSY REVEALED SIGNIFICANT BRUISING & BLOOD LOSS IN AREA DORSAL OF LEFT PECTORAL FLIPPER & SMALL BONE FRAGMENTS FROM SHATTERED SCAPULA; CARCASS EXAMINED BY LACMNH.,VS,MT,DEAD,,0,,,NA,,,,,,,,,,,,,,,,,1,,
PAC,6-May-09,U.S. NAVY VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL.  BLOOD AND FLESH OBSERVED IN WATER. SPECIES IDENTIFIED VIA GENETICS. PRESUMED MORTALITY. VESSEL SIZE = 567 FT. VESSEL SPEED = 16 KTS.,VS,SI,UNKNOWN,,0,,,L6A,,,,,,,,,,,,,,,,,1,,
PAC,8-Jun-09,"FREE-SWIMMING ANIMAL TRAILING 300 FEET OF POLYPROPYLENE LINE AND BUOY FROM CAUDAL PEDUNCLE. GEAR CONFIGURATION AND AMOUNT UNKNOWN. FINAL STATUS UNKNOWN. ASSIGNED AS L2 BECAUSE OF LENGTH OF GEAR TRAILING ANIMAL, IMPLIES GREAT DRAG.",EN,SI,UNKNOWN,,0,,,L2,,,,,,,,,,,,,,,,,1,,
PAC,7-Aug-09,BROUGHT IN ON THE BOW OF THE CONTAINER SHIP INTO THE PORT OF TACOMA BLAIR WATERWAY. TOWED TO MCNEIL ISLAND FOR NECROPSY BY WDFW AND CRC ON 8/8/09.,VS,MT,DEAD,,0,,,NA,,,,,,,,,,,,,,,,,1,,
PAC,16-Sep-10,ANIMAL BROUGHT INTO PORT OF OAKLAND IMPINGED ON BOW OF SHIP,VS,MT,DEAD,,0,,,NA,,,,,,,,,,,,,,,,,1,,
PAC,20-Sep-10,"BROKEN VERTEBRAE, LINEAR LACERATION",VS,MT,DEAD,,0,,,NA,,,,,,,,,,,,,,,,,1,,
PAC,31-Jul-11,"ORANGE/REDDISH LINE WRAPPED IN SEVERAL LAYERS BEHIND THE BLOWHOLE THAT HAD CUT DEEP INTO THE FLESH. ENTANGLEMENT LOOKED VERY TIGHT, WRAPPED LINE ABOUT 20 MM THICK WITH MANY TURNS. IT LOOKED LIKE THE WRAP IN TOTAL WAS A 200 MM THICK BUNDLE OF LINE. NO RESIGHTS, NO RELEASE, FINAL OUTCOME UNKNOWN. MULTIPLE WRAPS. CONSTRICTING GEAR. DEEP LACERATION.",EN,SI,UNKNOWN,,0,,,L2,,,,,,,,,,,,,,,,,1,,
PAC,19-Nov-11,FRACTURES ALONG 4 METER LENGTH OF VERTEBRAL COLUMN AND SIGNIFICANT MUSCLE HEMORRHAGE SURROUNDING THIS AREA INDICATE ANTE-MORTEM SHIP STRIKE. CARCASS SUNK 5 MILES OFF LA JOLLA AS PART OF WHALE FALL STUDY.,VS,MT,DEAD,,0,,,NA,,,,,,,,,,,,,,,,,1,,
PAC,21-Jun-12,"FRACTURED RIBS, VERTEBRAE. NECROPSY PERFORMED BY THE MARINE MAMMAL CENTER AND NATIONAL PARK SERVICE.",VS,MT,DEAD,,0,,,NA,,,,,,,,,,,,,,,,,1,,
PAC,3-Dec-12,NECROPSY SUMMARY DIAGNOSIS: THE ANIMAL APPEARS TO HAVE SUCCUMBED AN INJURY CONSISTENT WITH AN IMPACT TRAUMA ALONG ITS LEFT DORSAL BODY BY A LARGE OBJECT (SHIP STRIKE) RESULTING IN SEVERE MUSCULOSKELETAL TRAUMA AND SUBSEQUENT NECROSIS OF THE TISSUES.,VS,MT,DEAD,,0,,,NA,,,,,,,,,,,,,,,,,1,,
PAC,26-Feb-13,THE ANIMAL WAS BROUGHT INTO THE L.A. HARBOR ON THE BOW OF A CONTAINER SHIP ENROUTE FROM THE SOUTH. NO TIME TO NECROPSY ANIMAL BEFORE IT WAS TOWED BACK OUT TO SEA.,VS,MT,DEAD,,0,,,NA,,,,,,,,,,,,,,,,,1,,
PAC,13-Apr-13,EXAMINATION REVEALED THAT THE WHALE HAD BEEN BEEN HIT BY A SHIP. THERE WERE SIGNS OF MAJOR TRAUMA AND BRUISING THAT WAS MOST PRONOUNCED ON THE RIGHT SIDE OF THE BODY. THE BRUISING THROUGH THE BLUBBER LAYER INDICATED THE ANIMAL WAS ALIVE WHEN STRUCK. SEVERAL AREAS OF ABRASION HAD WHAT APPEARED TO BE RED PAINT LIKELY FROM THE BOW OF THE SHIP. IT IS THOUGHT THAT THE BLOW OF HAVING BEEN STRUCK AND POSSIBLY CONTACT WITH PROPELLER OR BEING DRAGGED AT HIGH SPEED PINNED ON THE BOW RESULTED IN THE EVISCERATED CONDITION OF THE CARCASS. (CASCADIA RESEARCH TEXT).,VS,MT,DEAD,,0,,,NA,,,,,,,,,,,,,,,,,1,,
PAC,13-Jun-13,THE 68-FOOT ADULT MALE HAD BEEN IN FAIRLY GOOD HEALTH PRIOR TO DEATH WITH A HEALTHY OILY BLUBBER LAYER AND EVIDENCE OF HAVING FED RECENTLY BASED ON STOMACH CONTENTS. THERE WAS SUBSTANTIAL BRUISING IN THE BLUBBER AND UNDERLYING TISSUES ON THE LEFT SIDE OF THE HEAD AND THE UPPER AND LOWER LEFT JAW INDICATING SEVERE BLUNT FORCE TRAUMA CONSISTENT WITH HAVING BEEN KILLED BY COLLISION WITH A SHIP.,VS,MT,DEAD,,0,,,NA,,,,,,,,,,,,,,,,,1,,
